City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Buala,SB,82.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
5,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
18,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Rikitea,PF,75.99,few clouds,-23.1203,-134.9692,People ThankYou
24,Hithadhoo,MV,81.16,broken clouds,-0.6,73.0833,Scoop Guest House
26,Cabo San Lucas,MX,86.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
29,Omboue,GA,78.57,overcast clouds,-1.5746,9.2618,Hotel Olako
31,Faanui,PF,81.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
38,San Patricio,US,84.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Harper,LR,80.02,clear sky,4.375,-7.7169,Screensaver
59,Butaritari,KI,83.05,few clouds,3.0707,172.7902,Isles Sunset Lodge
60,Trelew,AR,87.57,clear sky,-43.249,-65.3051,Hotel Touring Club
67,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
75,Ugoofaaru,MV,82.17,clear sky,5.6667,73.0,Ungoofaaru Inn
80,Ouargaye,BF,82.35,clear sky,11.5033,0.0572,Résidence le Cotonnier
86,Mackay,AU,79.68,few clouds,-21.15,149.2,International Lodge Motel
88,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
90,Puerto Ayacucho,VE,85.5,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
91,Axim,GH,80.13,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
96,Placido De Castro,BR,86.05,broken clouds,-10.3353,-67.1856,Hotel Carioca
100,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
102,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
105,Daru,PG,81.66,overcast clouds,-9.0763,143.2092,Daru Lodge
114,Puerto Escondido,MX,86.41,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
128,Vanimo,PG,77.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
131,Portobelo,PA,86.95,overcast clouds,9.55,-79.65,Scuba Portobelo
133,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
135,Camocim,BR,82.45,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
137,Hambantota,LK,77.76,overcast clouds,6.1241,81.1185,Bungalow 63
140,Sambava,MG,77.7,light rain,-14.2667,50.1667,Melrose
144,Lorengau,PG,83.86,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
150,Kendari,ID,75.78,overcast clouds,-3.945,122.4989,Hotel Wixel
153,Nguru,NG,75.56,clear sky,12.8791,10.4526,Government Lodge
