City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,54.48,98,100,5.19,overcast clouds
1,Buala,SB,-8.145,159.5921,82.04,77,84,2.42,light rain
2,Srednekolymsk,RU,67.45,153.6833,-40.9,100,61,2.64,broken clouds
3,Victoria,HK,22.2855,114.1577,65.32,66,98,1.01,overcast clouds
4,Fairbanks,US,64.8378,-147.7164,-22.02,73,1,0.0,haze
5,Vaini,TO,-21.2,-175.2,82.56,78,40,10.36,light rain
6,Maniitsoq,GL,65.4167,-52.9,38.41,69,98,21.21,overcast clouds
7,Kemijarvi,FI,66.7131,27.4306,-0.29,99,11,2.44,few clouds
8,Necochea,AR,-38.5473,-58.7368,61.03,59,96,14.88,light rain
9,Cidreira,BR,-30.1811,-50.2056,70.68,78,100,18.95,overcast clouds
10,Albany,US,42.6001,-73.9662,41.99,65,96,7.72,overcast clouds
11,Catuday,PH,16.2923,119.8062,73.65,68,62,12.28,broken clouds
12,Jamestown,US,42.097,-79.2353,40.59,61,40,10.0,scattered clouds
13,Podporozhye,RU,60.9112,34.1706,7.23,92,98,6.98,overcast clouds
14,Komsomolskiy,UZ,40.4272,71.7189,38.62,70,100,6.91,mist
15,Boo,SE,59.3333,18.2833,24.98,87,95,6.91,overcast clouds
16,Ostrovnoy,RU,68.0531,39.5131,4.5,95,81,7.0,broken clouds
17,Great Falls,US,47.5002,-111.3008,51.93,50,100,26.26,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,71,8.41,broken clouds
19,Muroto,JP,33.2833,134.15,49.93,63,50,7.61,scattered clouds
20,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,26,10.76,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,60.46,33,40,20.71,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,75.99,72,23,10.16,few clouds
23,Hilo,US,19.7297,-155.09,73.27,88,90,5.75,light rain
24,Hithadhoo,MV,-0.6,73.0833,81.16,77,79,11.7,broken clouds
25,Hobart,AU,-42.8794,147.3294,52.11,77,20,3.0,few clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,86.5,49,20,3.0,few clouds
27,Castro,BR,-24.7911,-50.0119,74.62,54,28,3.02,scattered clouds
28,Brae,GB,60.3964,-1.353,37.31,64,88,26.19,overcast clouds
29,Omboue,GA,-1.5746,9.2618,78.57,89,99,8.55,overcast clouds
30,Oranjemund,NA,-28.55,16.4333,61.75,85,92,0.67,overcast clouds
31,Faanui,PF,-16.4833,-151.75,81.36,68,17,16.49,few clouds
32,Cherskiy,RU,68.75,161.3,-34.53,100,47,3.13,scattered clouds
33,Ilulissat,GL,69.2167,-51.1,38.68,44,100,38.03,overcast clouds
34,Sakakah,SA,29.9697,40.2064,62.17,41,44,8.32,scattered clouds
35,San Cristobal,VE,7.7669,-72.225,78.98,46,64,4.68,broken clouds
36,Qaanaaq,GL,77.484,-69.3632,0.52,65,70,7.23,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,62.28,85,100,19.64,light rain
38,San Patricio,US,28.017,-97.5169,84.29,57,48,12.88,scattered clouds
39,Kapaa,US,22.0752,-159.319,70.12,74,40,1.01,scattered clouds
40,Bukama,CD,-9.2,25.85,73.45,73,12,0.94,few clouds
41,Baykit,RU,61.67,96.37,-0.54,87,98,6.08,overcast clouds
42,Busselton,AU,-33.65,115.3333,56.08,75,0,10.13,clear sky
43,Saldanha,ZA,-33.0117,17.9442,60.85,93,100,4.97,heavy intensity rain
44,Shakiso,ET,5.75,38.9167,58.21,70,41,2.98,scattered clouds
45,Upernavik,GL,72.7868,-56.1549,17.98,68,100,6.89,overcast clouds
46,Mar Del Plata,AR,-38.0023,-57.5575,60.82,80,75,11.99,broken clouds
47,East London,ZA,-33.0153,27.9116,68.18,95,100,17.9,light rain
48,Nuoro,IT,40.3211,9.3297,52.79,91,90,13.09,light rain
49,Tasiilaq,GL,65.6145,-37.6368,27.23,91,100,35.25,snow
50,Tiksi,RU,71.6872,128.8694,-21.06,98,100,3.29,overcast clouds
51,Katsuura,JP,35.1333,140.3,47.19,60,4,12.75,clear sky
52,Constitucion,CL,-35.3333,-72.4167,67.59,56,4,15.14,clear sky
53,Urusha,RU,54.05,122.9,3.83,86,100,2.17,overcast clouds
54,Kruisfontein,ZA,-34.0033,24.7314,59.88,94,100,19.57,light rain
55,Taunggyi,MM,20.7833,97.0333,51.8,91,29,1.68,scattered clouds
56,Ballina,AU,-28.8667,153.5667,71.56,86,90,16.11,overcast clouds
57,Harper,LR,4.375,-7.7169,80.02,81,6,9.22,clear sky
58,Salsk,RU,46.4725,41.5428,43.48,61,100,5.95,overcast clouds
59,Butaritari,KI,3.0707,172.7902,83.05,77,13,18.54,few clouds
60,Trelew,AR,-43.249,-65.3051,87.57,13,1,15.3,clear sky
61,Chak Jhumra,PK,31.5678,73.1835,61.39,30,4,0.67,clear sky
62,Ponta Do Sol,PT,32.6667,-17.1,66.83,63,96,9.4,overcast clouds
63,Yar-Sale,RU,66.8333,70.8333,-22.18,98,24,4.92,few clouds
64,Beloha,MG,-25.1667,45.05,74.52,76,0,3.13,clear sky
65,Kargil,IN,34.5667,76.1,13.89,72,54,2.55,broken clouds
66,Berlevag,NO,70.8578,29.0864,17.38,83,28,23.02,scattered clouds
67,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,40,8.05,scattered clouds
68,Sompeta,IN,18.9333,84.6,69.78,93,100,11.74,heavy intensity rain
69,Lagoa,PT,39.05,-27.9833,63.64,84,96,11.65,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,10.63,92,100,32.21,light snow
71,Severo-Kurilsk,RU,50.6789,156.125,30.81,84,77,24.02,light snow
72,Srikakulam,IN,18.3,83.9,70.16,92,100,7.76,overcast clouds
73,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,17.27,few clouds
74,Khani,GE,41.9563,42.9566,44.17,46,53,9.01,broken clouds
75,Ugoofaaru,MV,5.6667,73.0,82.17,76,7,11.43,clear sky
76,Ambovombe,MG,-25.1667,46.0833,74.17,88,0,2.8,clear sky
77,Hami,CN,42.8,93.45,26.73,55,78,3.29,broken clouds
78,Salalah,OM,17.0151,54.0924,74.07,43,0,4.88,clear sky
79,Viedma,AR,-40.8135,-62.9967,72.05,29,34,19.42,scattered clouds
80,Ouargaye,BF,11.5033,0.0572,82.35,14,1,8.01,clear sky
81,Kilembe,UG,0.2,30.0,61.02,87,100,5.37,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,15.03,94,100,5.73,overcast clouds
83,Haines Junction,CA,60.7522,-137.5108,-29.25,75,65,0.0,broken clouds
84,Barrow,US,71.2906,-156.7887,12.22,85,90,14.97,overcast clouds
85,Xacmaz,AZ,41.4635,48.806,45.68,58,0,3.24,clear sky
86,Mackay,AU,-21.15,149.2,79.68,88,13,5.75,few clouds
87,Pokosnoye,RU,55.5258,101.0536,23.22,78,100,18.03,overcast clouds
